Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4
K282,13,179,22532,9592,9592,68,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K288,21,176,17068,8839,8839,49,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K289,17,178,22500,16740,16740,78,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X003,10,181,20088,36310,36310,120,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
R127,31,209,614217,614217,6187,190,5.4564290801674815,-0.028635942118135894,1.1449235393242694,0.858425588758568
X101,8,178,23850,26106,26106,57,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X306,10,182,28224,12143,12143,104,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K306,19,180,22464,5626,5626,140,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M176,6,181,16470,22539,22539,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K382,20,195,8582471,8582471,2488095,215,4.7609849733828495,1.175069587948393,-0.5167098596189202,1.7012864470571942
K329,21,176,17028,7892,7892,49,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M033,2,182,27067,22122,22122,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q198,27,177,18360,5647,5647,70,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M061,1,182,17271,9450,9450,56,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q512,25,223,8331599,8331599,1944058,215,4.7609849733828495,1.175069587948393,-0.5167098596189202,1.7012864470571942
K380,14,177,27414,7651,7651,42,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K040,16,181,22923,3915,3915,169,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M041,2,177,19773,8044,8044,162,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
